Stock,name
M15.SI,Matex International Limited
M1GU.SI,Sabana Shari'ah Compliant Industrial Real Estate Investment Trust
M1Z.SI,TEE International Limited
M44U.SI,Mapletree Logistics Trust
ME8U.SI,Mapletree Industrial Trust
MF6.SI,Mun Siong Engineering Limited
MIJ.SI,Alliance Healthcare Group Limited
MR7.SI,Nordic Group Limited
MV4.SI,Mewah International Inc.
MXNU.SI,Elite Commercial REIT
MZH.SI,Nanofilm Technologies International Limited
N01.SI,Nera Telecommunications Ltd
N02.SI,NSL Ltd
N08.SI,New Toyo International Holdings Ltd
N0Z.SI,Combine Will International Holdings Limited
N2IU.SI,Mapletree Commercial Trust
N32.SI,Nippecraft Limited
NC2.SI,Sri Trang Agro-Industry Public Company Limited
NEX.SI,Reclaims Global Limited
NHD.SI,Jubilee Industries Holdings Ltd.
NO4.SI,Dyna-Mac Holdings Ltd.
NPW.SI,Malaysia Smelting Corporation Berhad
NR7.SI,Raffles Education Corporation Limited
NS8U.SI,Hutchison Port Holdings Trust
O08.SI,Ossia International Limited
O10.SI,Far East Orchard Limited
O32.SI,Olam International Limited
O39.SI,Oversea-Chinese Banking Corporation Limited
O5RU.SI,AIMS APAC REIT
O9E.SI,Parkson Retail Asia Limited
OAJ.SI,Fortress Minerals Limited
ODBU.SI,United Hampshire US Real Estate Investment Trust
OMK.SI,Vividthree Holdings Ltd.
OTX.SI,Medinex Limited
OU8.SI,Centurion Corporation Limited
OV8.SI,Sheng Siong Group Ltd
OXMU.SI,Prime US REIT
OYY.SI,PropNex Limited
P15.SI,Pacific Century Regional Developments Limited
P34.SI,Delfi Limited
P36.SI,Pan Hong Holdings Group Limited
P40U.SI,Starhill Global Real Estate Investment Trust
P52.SI,Pan-United Corporation Ltd
P7VU.SI,Hutchison Port Holdings Trust
P8A.SI,Cordlife Group Limited
P8Z.SI,Bumitama Agri Ltd.
P9D.SI,Civmec Limited
PA3.SI,TA Corporation Ltd
PH0.SI,Hatten Land Limited
Q01.SI,QAF Limited
Q0F.SI,IHH Healthcare Berhad
Q0X.SI,Ley Choon Group Holdings Limited
Q5T.SI,Far East Hospitality Trust
QC7.SI,Q & M Dental Group 
QES.SI,China Sunsine Chemical Holdings Ltd.
QNS.SI,Southern Alliance Mining Ltd.
QS9.SI,Global Invacom Group Limited
QZG.SI,Accrelist Ltd.
RCU.SI,Revez Corporation Ltd.
RDR.SI,Incredible Holdings Ltd.
RE4.SI,Geo Energy Resources Limited
RF7.SI,AMOS Group Limited
RQ1.SI,Overseas Education Limited
RS1.SI,China Environmental Resources Group Limited
RW0U.SI,Mapletree North Asia Commercial Trust
S07.SI,Shangri-La Asia Limited
S08.SI,Singapore Post Limited
S19.SI,Singapore Shipping Corporation Limited
S20.SI,The Straits Trading Company Limited
S23.SI,Singapura Finance Ltd
S29.SI,Stamford Tyres Corporation Limited
S35.SI,Sing Investments & Finance Limited
S3N.SI,OKH Global Ltd.
S41.SI,Hong Leong Finance Limited
S44.SI,EnGro Corporation Limited
S45U.SI,Singapore Index Fund
S49.SI,Singapore Reinsurance Corporation Limited
S51.SI,Sembcorp Marine Ltd
S56.SI,Samudera Shipping Line Ltd
S58.SI,SATS Ltd.
S59.SI,SIA Engineering Company Limited
S61.SI,SBS Transit Ltd
S63.SI,Singapore Technologies Engineering Ltd
S68.SI,Singapore Exchange Limited
S69.SI,Serial System Ltd
S71.SI,Sunright Limited
S7OU.SI,Asian Pay Television Trust
S7P.SI,Soilbuild Construction Group Ltd.
S85.SI,Straco Corporation Limited
S9B.SI,Amcorp Global Limited
SJY.SI,MeGroup Ltd.
SK6U.SI,SPH REIT
STP.SI,Silkroad Nickel Ltd.
SV3U.SI,Soilbuild Business Space REIT
T12.SI,Tat Seng Packaging Group Ltd
T13.SI,RH PetroGas Limited
T14.SI,Tianjin Zhong Xin Pharmaceutical Group Corporation Limited
T15.SI,Tan Chong International Limited
T24.SI,Tuan Sing Holdings Limited
T39.SI,Singapore Press Holdings Limited
T41.SI,Telechoice International Limited
